START_ID,name,:END_ID,:TYPE
A3355,NGOA,acqsys060007,UTILIZES
D6300,NLRB,acqsys060059,UTILIZES
D3100,NRC,acqsys060075,UTILIZES
D4900,NSF,acqsys060008,UTILIZES
D9508,NTSB,acqsys060060,UTILIZES
D9514,OSHRC,acqsys060037,UTILIZES
D1665,PBGC,acqsys060018,UTILIZES
D1145,PC,acqsys060076,UTILIZES
A959P,PSA,acqsys060061,UTILIZES
D6000,RRB,acqsys060049,UTILIZES
D7300,SBA,acqsys060077,UTILIZES
D5000,SEC,acqsys060026,UTILIZES
D3300,SI,acqsys060064,UTILIZES
D3300,SI,acqsys060078,UTILIZES
D2800,SSA,acqsys060079,UTILIZES
D2000,TREAS,acqsys060038,UTILIZES
D2000,TREAS,acqsys060062,UTILIZES
D2000,TREAS,acqsys060067,UTILIZES
D7200,USAID,acqsys060040,UTILIZES
D7700,USIDFC,acqsys060063,UTILIZES
A1727,USMC,acqsys000429,UTILIZES
A1727,USMC,acqsys001237,UTILIZES
A1727,USMC,acqsys001658,UTILIZES
A1727,USMC,acqsys004768,UTILIZES
A1727,USMC,acqsys004831,UTILIZES
A1727,USMC,acqsys004832,UTILIZES
A1727,USMC,acqsys005095,UTILIZES
A1727,USMC,acqsys005532,UTILIZES
A1727,USMC,acqsys008713,UTILIZES
A1727,USMC,acqsys008714,UTILIZES
A1727,USMC,acqsys008715,UTILIZES
A1727,USMC,acqsys059212,UTILIZES
D3600,VA,acqsys060009,UTILIZES
